REF_AREA,Country,Measure,UNIT_MEASURE,Unit of measure,Age,Sex,Education,Domain,Year,OBS_VALUE
AUT,Austria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,52.858994
CHE,Switzerland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,67.571083
IRL,Ireland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,74.687
USA,United States,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,77.242
SVK,Slovak Republic,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,70.904
CRI,Costa Rica,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,53.712
TUR,Türkiye,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,59.533
CHL,Chile,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,60.625
KOR,Korea,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,77.475151
LUX,Luxembourg,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,29.081
SWE,Sweden,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,85.056427
TUR,Türkiye,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,34.229
CAN,Canada,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,73.532867
CHL,Chile,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,75.317
ISL,Iceland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,85.912
LVA,Latvia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,56.425018
SVN,Slovenia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,66.998
GRC,Greece,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,57.644
LTU,Lithuania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,28.314
ITA,Italy,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,15.627
NLD,Netherlands,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,82.605
SVN,Slovenia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,82.944
SVN,Slovenia,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,71.383
EST,Estonia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,77.600029
CHE,Switzerland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,77.117
COL,Colombia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,82.70062256
DEU,Germany,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,74.629
NOR,Norway,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,80.662
ISL,Iceland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,80.74
ISL,Iceland,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,85.202
EST,Estonia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,85.720383
SVK,Slovak Republic,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,34.454655
USA,United States,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,66.858
MEX,Mexico,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,79.96048
SVK,Slovak Republic,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,78.163
NZL,New Zealand,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,73.857
LUX,Luxembourg,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,71.802605
SWE,Sweden,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,65.871948
ESP,Spain,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,64.642
IRL,Ireland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,64.199
AUS,Australia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,68.786
CZE,Czechia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,84.831734
FIN,Finland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,76.084
BEL,Belgium,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,44.02
DNK,Denmark,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,51.337
FRA,France,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,72.580147
FRA,France,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,52.213428
NOR,Norway,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,78.033
NLD,Netherlands,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,77.368
FIN,Finland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,60.027
DNK,Denmark,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,81.539
GBR,United Kingdom,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,83.937
PRT,Portugal,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,46.239
LTU,Lithuania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,77.441
POL,Poland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,44.328
CRI,Costa Rica,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,73.069
HUN,Hungary,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,68.809
ISR,Israel,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,66.239
HUN,Hungary,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,73.891
ESP,Spain,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,67.698692
HUN,Hungary,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,83.577
CRI,Costa Rica,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,69.537
CRI,Costa Rica,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,71.712273
SVK,Slovak Republic,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,63.635
TUR,Türkiye,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,77.077
NOR,Norway,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,83.064
POL,Poland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,87.108437
PRT,Portugal,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,83.632805
AUT,Austria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,79.52
CHE,Switzerland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,88.281
GRC,Greece,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,64.505
COL,Colombia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,60.174
NLD,Netherlands,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,78.433708
NZL,New Zealand,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,80.115
IRL,Ireland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,77.811
KOR,Korea,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,72.502853
NOR,Norway,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,61.012028
FIN,Finland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,42.391
NZL,New Zealand,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,81.58
CAN,Canada,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,81.770493
HUN,Hungary,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,48.08321
MEX,Mexico,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,70.387871
BEL,Belgium,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,23.362
LUX,Luxembourg,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,84.75782
CZE,Czechia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,55.453
LVA,Latvia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,76.485
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,76.13
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,40
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,38.417
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,57.595
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,86.907616
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,83.363411
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,85.077934
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,59.648
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,58.315
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,50.668919
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,20.341
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,81.872
BGR,Bulgaria,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,70.363
ZAF,South Africa,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,55.834
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,52.954
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,84.89794159
HRV,Croatia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,39.192
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,73.922913
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,68.751
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,24.499
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2015,83.238861
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,65.005676
PER,Peru,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,49.213
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,92.263
PER,Peru,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,77.558
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,63.699654
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,73.03299713
BRA,Brazil,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,69.199
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,73.865
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,77.539
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,41.098
PER,Peru,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,92.46
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2015,48.404
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,74.328819
HRV,Croatia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,19.142
HRV,Croatia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,72.344
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,48.161
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,67.259
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,77.417
ROU,Romania,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,68.644
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,73.092529
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,57.005
HRV,Croatia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,68.503
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,55.076824
PER,Peru,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,82.946
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,13.284
PER,Peru,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,71.74
IDN,Indonesia,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,74.667
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2015,40.33507538
BRA,Brazil,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2015,44.352
IDN,Indonesia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2015,75.687
HRV,Croatia,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,63.688
ZAF,South Africa,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,63.845
HRV,Croatia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2015,58.917
PER,Peru,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2015,82.088
ROU,Romania,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2015,70.252113
BGR,Bulgaria,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2015,73.433
FIN,Finland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2014,73.542
ISL,Iceland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2014,87.479
DEU,Germany,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2014,57.983791
NZL,New Zealand,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,87.229301
USA,United States,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,80.113396
AUS,Australia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2014,82.158
AUS,Australia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,82.947945
LVA,Latvia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,Total,Work and job quality,2014,70.956
CAN,Canada,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2014,76.134
FRA,France,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2014,71.737
CHL,Chile,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2014,85.929
ITA,Italy,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2014,46.238
NLD,Netherlands,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2014,60.548134
SVN,Slovenia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2014,48.500076
MEX,Mexico,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2014,67.673
CRI,Costa Rica,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2014,36.107
ISL,Iceland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,89.503448
KOR,Korea,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2014,75.767
MEX,Mexico,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2014,70.11
SVN,Slovenia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2014,69.481331
USA,United States,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2014,79.621
NZL,New Zealand,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2014,87.111
FRA,France,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2014,79.783
IRL,Ireland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2014,46.625233
ITA,Italy,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2014,62.917
IRL,Ireland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2014,67.930679
JPN,Japan,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,Total,Work and job quality,2014,89.453
JPN,Japan,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,81.603622
CAN,Canada,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2014,81.269
COL,Colombia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,Total,Work and job quality,2014,76.799
HUN,Hungary,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,81.839241
GRC,Greece,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2014,46.932018
COL,Colombia,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2014,42.133
DNK,Denmark,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,Total,Work and job quality,2014,76.388
NOR,Norway,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,Total,Work and job quality,2014,50.136
BEL,Belgium,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Primary education,Work and job quality,2014,47.473766
BEL,Belgium,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Secondary education,Work and job quality,2014,72.793587
CHE,Switzerland,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,Tertiary education,Work and job quality,2014,88.040604
FRA,France,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,Total,Work and job quality,2014,46.942
